eval_id,score,pass,chat
S01,90,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S01.html
S02,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S02.html
S03,88,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S03.html
S04,80,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S04.html
S05,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S05.html
S06,92,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S06.html
S07,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S07.html
S08,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S08.html
S09,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S09.html
S10,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S10.html
S11,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S11.html
S12,92,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S12.html
S13,50,False,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S13.html
S14,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S14.html
S15,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S15.html
S16,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S16.html
